Unnamed: 0,CRITERES_ATTRIBUTION_1,CRITERES_ATTRIBUTION_2
1598,TECHNIQUE,PRIX
1599,TECHNIQUE,PRIX
1601,PRIX,TECHNIQUE
1602,PRIX,TECHNIQUE
1606,PRIX,PRIX
1607,PRIX,QUALITE
1608,AUTRE,QUALITE
1612,PRIX,TECHNIQUE
1616,TECHNIQUE,PRIX
1630,PRIX,QUALITE
1631,PRIX,TECHNIQUE
1632,PRIX,QUALITE
1635,PRIX,TECHNIQUE
1638,PRIX,TECHNIQUE
1639,PRIX,TECHNIQUE
1641,PRIX,TECHNIQUE
1642,TECHNIQUE,PRIX
1643,TECHNIQUE,PRIX
1644,TECHNIQUE,PRIX
1645,PRIX,TECHNIQUE
1647,PRIX,TECHNIQUE
1650,TECHNIQUE,PRIX
1651,PRIX,TECHNIQUE
1655,PRIX,TECHNIQUE
1658,PRIX,TECHNIQUE
1664,PRIX,TECHNIQUE
1666,PRIX,TECHNIQUE
1671,TECHNIQUE,PRIX
1672,PRIX,TECHNIQUE
1673,TECHNIQUE,PRIX
1676,TECHNIQUE,PRIX
1677,TECHNIQUE,PRIX
1684,TECHNIQUE,PRIX
1685,PRIX,TECHNIQUE
1689,PRIX,TECHNIQUE
1690,PRIX,TECHNIQUE
1691,PRIX,TECHNIQUE
1693,PRIX,TECHNIQUE
1695,AUTRE,TECHNIQUE
1699,PRIX,TECHNIQUE
1701,PRIX,TECHNIQUE
1704,PRIX,TECHNIQUE
1706,PRIX,TECHNIQUE
1710,TECHNIQUE,PRIX
1715,PRIX,TECHNIQUE
1720,TECHNIQUE,PRIX
1721,QUALITE,PRIX
1723,TECHNIQUE,PRIX
1729,PRIX,QUALITE
1730,TECHNIQUE,PRIX
1731,PRIX,TECHNIQUE
1734,PRIX,AUTRE
1736,TECHNIQUE,PRIX
1737,PRIX,TECHNIQUE
1739,TECHNIQUE,PRIX
1740,AUTRE,PRIX
1741,PRIX,TECHNIQUE
1742,TECHNIQUE,PRIX
1743,TECHNIQUE,PRIX
1744,TECHNIQUE,PRIX
1745,PRIX,TECHNIQUE
1747,TECHNIQUE,PRIX
1748,PRIX,TECHNIQUE
1749,PRIX,TECHNIQUE
1750,PRIX,TECHNIQUE
1751,PRIX,TECHNIQUE
1752,PRIX,TECHNIQUE
1755,TECHNIQUE,PRIX
1756,PRIX,QUALITE
1759,TECHNIQUE,PRIX
1767,PRIX,AUTRE
1768,PRIX,TECHNIQUE
1776,PRIX,TECHNIQUE
1780,PRIX,QUALITE
1781,PRIX,TECHNIQUE
1791,TECHNIQUE,PRIX
1794,PRIX,TECHNIQUE
